ID,Rating [Rogue One/Star Wars],Rating [Fight Club],Rating [The Lord of the Rings],Rating [Trolls],Rating [Despicable Me],Rating [Kubo],Rating [The hangover],Rating [Captain America],Rating [The big Lebowski],Rating [Almost famous],Rating [The hunger games],Rating [Pulp Fiction],Rating [Sing ],Rating [500 days of Summer],Rating [Twilight],Rating [Lala Land],Rating [A Fantastic Woman],Rating [Loveless],Rating [The Insult],Rating [The Square]
2,4,3,4,N/A,2,N/A,N/A,2,N/A,N/A,N/A,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,N/A,5,4,N/A,3,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,5
8,5,4,5,N/A,4,N/A,3,3,N/A,4,N/A,4,N/A,N/A,2,1,5,5,4,3
10,4,3,3,3,3,3,2,1,4,5,5,4,3,4,1,3,3,2,2,1
11,4,5,N/A,N/A,4,N/A,5,5,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,N/A,N/A,N/A,N/A,5,N/A,4,4,N/A,N/A,4,N/A,N/A,5,5,5,5,5,N/A,N/A
13,N/A,4,5,N/A,5,5,4,4,N/A,N/A,N/A,5,4,N/A,N/A,N/A,4,4,4,4
14,4,5,4,4,4,N/A,3,4,N/A,N/A,4,4,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
15,4,N/A,5,4,5,N/A,4,3,N/A,N/A,4,N/A,5,5,4,5,N/A,4,4,5
18,3,N/A,5,N/A,4,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,5,5,5,N/A,N/A,N/A
19,3,3,4,4,5,4,N/A,4,N/A,N/A,4,N/A,N/A,4,5,4,4,N/A,N/A,5
23,5,N/A,N/A,N/A,5,N/A,5,5,N/A,N/A,4,N/A,N/A,N/A,3,3,N/A,N/A,N/A,N/A
28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
29,5,N/A,N/A,N/A,5,N/A,N/A,5,N/A,N/A,5,N/A,5,N/A,5,5,N/A,N/A,N/A,N/A
30,4,5,5,1,3,3,5,4,5,3,3,5,3,4,2,4,2,2,2,2
31,3,N/A,5,5,4,N/A,4,4,5,N/A,3,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
32,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,5,5,N/A,N/A,N/A,N/A,N/A
33,4,5,5,N/A,4,N/A,4,3,N/A,N/A,3,5,N/A,3,2,3,N/A,N/A,N/A,N/A
34,4,5,4,4,3,4,4,4,3,3,4,3,4,3,3,3,4,3,3,4
35,N/A,N/A,5,N/A,5,N/A,5,4,N/A,3,5,N/A,N/A,N/A,5,5,3,N/A,N/A,N/A
38,N/A,N/A,4,N/A,2,4,2,N/A,N/A,N/A,N/A,N/A,N/A,2,1,N/A,N/A,N/A,N/A,N/A
37,5,N/A,5,N/A,5,1,4,4,N/A,N/A,4,3,N/A,3,2,4,N/A,N/A,N/A,N/A
39,N/A,N/A,5,N/A,N/A,N/A,N/A,5,N/A,N/A,5,N/A,N/A,N/A,5,5,N/A,5,N/A,N/A
40,N/A,4,5,N/A,N/A,4,N/A,3,N/A,N/A,3,3,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A
41,N/A,N/A,5,N/A,4,N/A,5,5,N/A,N/A,N/A,5,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A
42,5,5,5,N/A,5,N/A,5,5,N/A,N/A,3,5,N/A,4,1,1,5,1,N/A,N/A
44,N/A,5,5,N/A,3,N/A,4,3,N/A,N/A,N/A,5,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
45,N/A,4,4,4,5,N/A,N/A,5,N/A,N/A,5,N/A,N/A,4,3,4,N/A,N/A,N/A,N/A
46,4,5,5,N/A,4,N/A,4,5,N/A,N/A,4,4,N/A,N/A,5,5,N/A,N/A,N/A,N/A
47,3,5,5,N/A,1,5,3,4,N/A,N/A,3,5,N/A,N/A,1,4,N/A,N/A,N/A,N/A
50,4,4,4,N/A,4,N/A,5,5,N/A,N/A,2,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51,4,N/A,3,N/A,2,N/A,5,5,N/A,N/A,4,N/A,4,5,4,5,N/A,N/A,N/A,N/A
52,4,5,5,N/A,5,N/A,4,4,N/A,N/A,2,5,N/A,5,1,5,N/A,N/A,N/A,N/A
55,N/A,N/A,4,N/A,4,N/A,4,3,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
56,N/A,5,5,N/A,4,4,5,5,N/A,N/A,5,5,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
57,N/A,N/A,5,N/A,4,3,4,4,N/A,N/A,4,N/A,N/A,N/A,3,4,N/A,N/A,N/A,N/A
58,N/A,N/A,5,N/A,4,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
59,N/A,N/A,4,N/A,4,N/A,5,4,N/A,N/A,N/A,N/A,N/A,N/A,5,2,N/A,N/A,N/A,N/A
62,N/A,5,4,N/A,4,N/A,5,4,N/A,N/A,3,4,1,4,1,N/A,N/A,N/A,N/A,N/A
63,5,5,5,4,5,4,5,5,5,N/A,3,5,N/A,5,2,3,N/A,N/A,N/A,N/A
64,N/A,5,N/A,N/A,4,4,4,5,N/A,N/A,4,N/A,N/A,3,4,N/A,N/A,N/A,N/A,N/A
65,N/A,4,5,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
67,3,4,3,N/A,4,N/A,4,3,5,N/A,4,5,N/A,N/A,5,5,3,N/A,N/A,N/A
70,N/A,N/A,5,N/A,5,N/A,5,5,N/A,N/A,N/A,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
71,N/A,5,N/A,N/A,5,N/A,4,5,N/A,N/A,N/A,2,N/A,2,4,N/A,N/A,N/A,N/A,N/A
72,5,N/A,5,3,4,N/A,N/A,4,3,4,N/A,4,4,3,2,5,N/A,N/A,N/A,N/A
73,1,4,5,5,5,5,4,1,1,5,4,4,4,5,5,1,4,5,2,2
74,4,N/A,5,4,5,5,4,5,N/A,3,N/A,3,N/A,3,2,3,N/A,N/A,N/A,N/A
75,4,4,4,3,2,N/A,5,5,3,4,4,4,N/A,5,5,4,5,N/A,3,4
76,4,N/A,N/A,5,5,4,4,5,N/A,4,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
77,2,1,4,1,5,N/A,4,5,N/A,N/A,5,5,4,5,1,3,5,N/A,N/A,N/A
78,3,5,4,2,4,3,5,4,N/A,N/A,4,5,N/A,4,2,5,N/A,3,N/A,N/A
79,3,1,5,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
85,4,5,5,3,5,3,5,5,3,4,5,5,5,5,5,5,N/A,N/A,N/A,N/A
86,3,4,3,2,3,3,2,4,3,2,2,3,5,5,4,5,5,4,4,3
87,4,5,5,2,2,2,3,3,N/A,N/A,2,5,2,N/A,2,4,2,3,N/A,4
89,5,5,5,3,3,3,4,4,3,3,3,5,3,4,2,3,3,3,4,4
90,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
91,4,4,N/A,N/A,4,N/A,4,4,4,N/A,N/A,5,N/A,3,N/A,5,N/A,N/A,N/A,N/A
94,5,5,5,N/A,5,N/A,5,5,N/A,N/A,5,N/A,N/A,5,5,N/A,5,N/A,N/A,N/A
102,4,5,5,N/A,3,N/A,5,5,N/A,N/A,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
106,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A
107,N/A,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
109,N/A,N/A,5,5,5,N/A,5,5,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
111,4,4,4,N/A,N/A,N/A,N/A,N/A,N/A,3,3,4,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A
112,3,5,5,N/A,3,N/A,5,3,5,N/A,3,5,N/A,4,1,4,N/A,N/A,N/A,N/A
116,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,5,4,N/A,N/A,N/A,N/A,N/A
117,N/A,4,5,N/A,2,N/A,4,3,5,N/A,2,5,N/A,1,1,1,N/A,N/A,N/A,N/A
120,2,2,4,4,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,3,5,N/A,5,4,2,4
122,N/A,N/A,5,5,5,5,5,5,N/A,5,5,5,5,4,5,4,3,5,3,2
123,N/A,5,4,N/A,5,N/A,4,5,N/A,4,3,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
124,5,5,4,4,5,4,5,5,N/A,N/A,5,N/A,5,5,5,5,N/A,5,1,1
125,N/A,5,5,N/A,N/A,N/A,3,N/A,N/A,N/A,2,N/A,N/A,5,5,5,N/A,2,2,5
126,N/A,5,5,N/A,4,N/A,4,N/A,5,5,4,5,N/A,4,3,5,N/A,N/A,N/A,N/A
127,3,N/A,4,N/A,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
128,N/A,4,5,N/A,4,5,5,4,N/A,N/A,3,5,4,N/A,1,5,N/A,N/A,N/A,N/A
121,3,4,4,N/A,3,N/A,5,3,4,N/A,3,5,N/A,N/A,3,5,N/A,N/A,N/A,N/A
129,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4
130,N/A,N/A,5,5,5,N/A,5,4,N/A,N/A,N/A,5,4,N/A,5,4,N/A,N/A,3,4
131,4,3,4,4,4,4,5,4,5,3,4,3,5,N/A,5,3,4,3,4,5
132,4,4,N/A,5,4,N/A,4,5,N/A,N/A,4,5,N/A,N/A,3,N/A,N/A,N/A,4,3
133,4,5,5,N/A,5,N/A,N/A,4,N/A,N/A,5,5,5,5,4,5,N/A,N/A,N/A,N/A
137,5,N/A,3,N/A,5,N/A,N/A,4,N/A,N/A,5,N/A,N/A,N/A,4,3,N/A,N/A,N/A,N/A
144,5,5,5,5,N/A,N/A,5,4,3,3,N/A,5,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
146,N/A,3,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,4,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A
147,N/A,4,5,N/A,4,N/A,N/A,4,N/A,N/A,4,N/A,N/A,N/A,3,5,N/A,N/A,N/A,N/A
148,5,5,5,N/A,5,N/A,5,5,N/A,N/A,4,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
149,3,4,5,N/A,3,3,3,4,N/A,N/A,4,5,3,4,1,N/A,N/A,N/A,N/A,N/A
150,5,N/A,5,N/A,5,N/A,5,5,N/A,N/A,N/A,N/A,N/A,5,3,3,N/A,N/A,N/A,N/A
152,N/A,N/A,4,N/A,5,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
156,N/A,N/A,N/A,N/A,5,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
157,1,5,5,1,3,N/A,5,5,N/A,N/A,N/A,N/A,N/A,5,5,5,N/A,N/A,N/A,N/A
158,4,N/A,4,N/A,5,N/A,N/A,3,N/A,3,3,N/A,3,3,4,3,N/A,N/A,N/A,N/A
162,N/A,N/A,4,N/A,3,N/A,5,3,N/A,N/A,4,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
163,N/A,5,5,N/A,2,N/A,3,4,5,N/A,4,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
166,N/A,N/A,4,N/A,5,5,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,4,5,N/A,N/A,N/A,N/A
170,4,4,N/A,N/A,4,N/A,4,4,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
171,5,5,5,N/A,N/A,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A
173,N/A,N/A,4,N/A,3,N/A,N/A,3,N/A,N/A,N/A,N/A,3,N/A,3,3,N/A,N/A,N/A,N/A
174,N/A,N/A,5,N/A,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,N/A
176,3,5,4,N/A,4,N/A,5,5,N/A,N/A,3,5,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
177,N/A,N/A,5,N/A,5,N/A,5,4,5,4,5,4,4,1,5,3,5,4,2,N/A
178,3,5,5,N/A,4,5,5,3,N/A,N/A,3,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A
179,5,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,3
180,3,5,5,3,1,1,3,5,4,2,N/A,3,N/A,4,5,3,3,N/A,3,5
181,N/A,4,N/A,3,5,N/A,5,4,N/A,N/A,4,5,N/A,5,N/A,4,N/A,N/A,N/A,N/A
182,5,N/A,N/A,4,5,N/A,5,4,N/A,N/A,N/A,N/A,N/A,5,3,5,N/A,N/A,N/A,N/A
186,N/A,4,5,N/A,3,N/A,4,5,N/A,N/A,N/A,5,N/A,4,5,N/A,N/A,N/A,N/A,N/A
190,N/A,5,5,N/A,5,N/A,3,3,N/A,N/A,N/A,3,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
191,4,N/A,5,N/A,5,N/A,5,5,N/A,4,4,5,5,5,5,4,5,N/A,5,N/A
193,4,2,5,N/A,N/A,N/A,2,3,N/A,N/A,2,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A
196,1,5,2,4,3,N/A,5,2,5,N/A,3,5,N/A,N/A,1,1,1,1,5,5
197,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
198,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,N/A,N/A
199,N/A,N/A,N/A,N/A,N/A,N/A,4,N/A,N/A,N/A,4,N/A,N/A,N/A,4,3,N/A,N/A,N/A,N/A
201,4,5,5,N/A,4,N/A,5,5,4,N/A,5,N/A,N/A,4,5,5,N/A,3,N/A,4
202,4,4,4,4,4,4,4,4,4,3,4,5,4,4,5,5,3,3,3,3
203,N/A,N/A,N/A,4,4,N/A,4,N/A,N/A,N/A,3,4,4,N/A,N/A,2,N/A,N/A,N/A,N/A
204,5,3,4,N/A,2,N/A,4,5,N/A,N/A,3,4,1,N/A,2,3,N/A,N/A,N/A,N/A
205,5,4,5,1,1,N/A,4,4,N/A,N/A,3,4,1,N/A,2,N/A,N/A,N/A,N/A,N/A
216,N/A,5,N/A,5,5,5,5,N/A,3,N/A,4,4,N/A,5,3,5,5,4,N/A,N/A
206,5,4,5,3,4,3,3,5,3,2,3,2,2,3,4,4,4,3,4,4
207,2,5,5,N/A,4,N/A,5,5,N/A,N/A,4,N/A,5,N/A,3,5,N/A,N/A,N/A,N/A
208,N/A,4,N/A,N/A,4,N/A,5,5,N/A,N/A,5,N/A,N/A,N/A,4,3,N/A,N/A,N/A,N/A
209,3,4,5,2,5,4,5,5,4,4,5,4,3,3,5,5,3,2,3,2
210,4,N/A,4,N/A,4,N/A,4,4,N/A,N/A,N/A,N/A,N/A,3,3,3,N/A,N/A,N/A,N/A
211,N/A,N/A,5,N/A,3,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
212,N/A,5,4,N/A,4,N/A,5,5,N/A,N/A,N/A,5,N/A,N/A,2,5,N/A,N/A,N/A,N/A
213,N/A,N/A,4,5,5,5,4,2,N/A,N/A,5,N/A,N/A,3,2,N/A,5,N/A,2,N/A
214,3,3,4,3,5,3,5,4,3,3,5,4,2,2,2,4,3,N/A,N/A,N/A
215,N/A,5,N/A,N/A,N/A,N/A,4,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
217,N/A,N/A,4,N/A,4,N/A,5,N/A,N/A,N/A,4,4,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
218,5,N/A,5,4,5,4,4,4,3,3,3,3,3,5,5,5,5,5,5,5
219,N/A,4,N/A,N/A,3,N/A,5,5,N/A,N/A,4,N/A,N/A,N/A,4,4,N/A,N/A,N/A,N/A
220,N/A,N/A,4,4,5,N/A,5,4,N/A,N/A,4,N/A,N/A,N/A,3,4,4,N/A,N/A,N/A
221,N/A,5,4,N/A,5,N/A,4,4,N/A,N/A,4,N/A,N/A,N/A,2,5,N/A,N/A,N/A,N/A
222,4,N/A,4,N/A,N/A,N/A,4,5,N/A,N/A,4,N/A,N/A,5,5,4,5,N/A,N/A,4
225,N/A,N/A,N/A,N/A,4,N/A,4,N/A,N/A,N/A,N/A,N/A,3,N/A,4,4,N/A,N/A,N/A,N/A
226,4,5,5,N/A,3,5,5,3,N/A,N/A,2,N/A,4,N/A,2,3,N/A,N/A,N/A,N/A
227,N/A,N/A,4,N/A,4,N/A,3,N/A,N/A,N/A,N/A,N/A,3,N/A,2,3,2,N/A,N/A,N/A
228,4,5,5,4,5,3,5,5,4,4,5,N/A,3,2,4,2,2,2,4,3
229,N/A,5,N/A,N/A,3,N/A,5,5,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
232,4,4,2,N/A,3,N/A,5,4,4,N/A,4,5,N/A,5,2,5,3,N/A,N/A,N/A
230,4,4,5,2,3,2,5,5,3,3,4,3,3,3,4,4,3,3,3,3
231,N/A,N/A,N/A,N/A,4,N/A,5,4,N/A,N/A,4,N/A,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A
233,N/A,N/A,5,5,5,N/A,4,4,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,5
239,N/A,5,5,N/A,3,N/A,4,3,4,N/A,4,5,N/A,2,N/A,3,N/A,N/A,N/A,N/A
240,N/A,2,5,N/A,N/A,N/A,2,2,3,N/A,2,4,N/A,5,2,4,N/A,N/A,N/A,N/A
241,2,4,4,N/A,4,N/A,3,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
242,N/A,4,5,N/A,N/A,N/A,3,3,N/A,N/A,4,5,N/A,N/A,3,4,N/A,N/A,N/A,N/A
243,3,3,4,N/A,5,4,N/A,3,N/A,3,4,N/A,N/A,5,5,5,N/A,N/A,N/A,N/A
247,N/A,5,N/A,N/A,4,N/A,3,4,N/A,N/A,N/A,5,N/A,N/A,N/A,5,N/A,N/A,4,4
249,N/A,5,N/A,N/A,N/A,N/A,5,5,N/A,N/A,N/A,5,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A
